,unit_name,report_date,unit_work,unit_parks,unit_retail,unit_grocery,unit_transit,unit_residential,subunit_name,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
31,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Greene County,-0.33,,0.11,-0.22,-0.32,
2785,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Greene County,-0.33,,0.11,-0.29,-0.4,
32,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Hale County,-0.14,,-0.46,-0.29,,
2786,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Hale County,-0.39,,-0.41,-0.36,,
33,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Henry County,-0.29,,-0.46,,,
2787,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Henry County,-0.33,,-0.49,-0.19,,
34,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Houston County,-0.3,0.23,-0.46,-0.18,-0.27,
2788,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Houston County,-0.36,,-0.58,-0.25,-0.44,0.11
35,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Jackson County,-0.25,,-0.31,,,0.12
2789,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Jackson County,-0.33,,-0.49,-0.1,,0.12
36,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Jefferson County,-0.36,,-0.48,-0.16,-0.43,0.11
2790,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Jefferson County,-0.42,-0.2,-0.56,-0.17,-0.46,0.13
37,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Lamar County,-0.28,,,,,
2791,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Lamar County,-0.32,,-0.32,,,
38,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Lauderdale County,-0.33,-0.15,-0.43,-0.14,,
2792,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Lauderdale County,-0.36,-0.15,-0.54,-0.16,,
39,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Lawrence County,-0.25,,-0.27,,,
2793,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Lawrence County,-0.3,,-0.41,-0.16,,
40,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Lee County,-0.36,-0.14,-0.52,-0.23,,0.11
2794,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Lee County,-0.43,-0.14,-0.58,-0.27,,0.13
41,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Limestone County,-0.32,0.38,-0.35,-0.12,,
2795,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Limestone County,-0.37,0.32,-0.46,-0.18,,0.1
42,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Lowndes County,-0.34,,,,-0.29,
2796,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Lowndes County,-0.41,,,,-0.44,
43,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Macon County,-0.37,,-0.29,-0.12,-0.42,
2797,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Macon County,-0.39,,-0.46,,-0.54,
44,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Madison County,-0.38,0.35,-0.46,-0.17,-0.39,0.1
2798,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Madison County,-0.43,,-0.56,-0.28,-0.53,0.13
45,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Marengo County,-0.17,,-0.18,,,
2799,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Marengo County,-0.19,,-0.26,,,
46,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Marion County,-0.24,,-0.31,,,
2800,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Marion County,-0.31,,-0.43,-0.13,,
47,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Marshall County,-0.3,,-0.34,,,
2801,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Marshall County,-0.31,0.63,-0.5,-0.12,,
48,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Mobile County,-0.29,-0.21,-0.39,-0.11,-0.3,
2802,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Mobile County,-0.33,-0.3,-0.42,-0.1,-0.37,0.11
49,Alabama,2020-03-29 00:00:00+00:00,-0.32,0.19,-0.41,-0.13,-0.3,,Monroe County,-0.27,,-0.28,,,
2803,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Monroe County,-0.34,,-0.52,0.36,,
